Admin2,Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,date
Strafford,New Hampshire,US,43.291833000000004,-71.02336013,3,0,0,0,"Strafford, New Hampshire, US",03/22/2020
Merrimack,New Hampshire,US,43.29662971,-71.6811573,4,0,0,0,"Merrimack, New Hampshire, US",03/22/2020
Carroll,New Hampshire,US,43.87498583,-71.20430216,6,0,0,0,"Carroll, New Hampshire, US",03/22/2020
Hillsborough,New Hampshire,US,42.91537785,-71.7200253,15,0,0,0,"Hillsborough, New Hampshire, US",03/22/2020
Grafton,New Hampshire,US,43.93779815,-71.82057197,15,0,0,0,"Grafton, New Hampshire, US",03/22/2020
Rockingham,New Hampshire,US,42.98499744,-71.12883377,28,0,0,0,"Rockingham, New Hampshire, US",03/22/2020
Kent,Rhode Island,US,41.67106337,-71.57641596,7,0,0,0,"Kent, Rhode Island, US",03/22/2020
Newport,Rhode Island,US,41.5642026,-71.26569799,8,0,0,0,"Newport, Rhode Island, US",03/22/2020
Washington,Rhode Island,US,41.45961631,-71.61435303,9,0,0,0,"Washington, Rhode Island, US",03/22/2020
Bristol,Rhode Island,US,41.71018079,-71.28652315,14,0,0,0,"Bristol, Rhode Island, US",03/22/2020
Penobscot,Maine,US,45.40194593,-68.65020455,2,0,0,0,"Penobscot, Maine, US",03/22/2020
Washington,Iowa,US,41.33577126,-91.71725711,3,0,0,0,"Washington, Iowa, US",03/22/2020
Lincoln,Nebraska,US,41.04658298,-100.74753740000001,3,0,0,0,"Lincoln, Nebraska, US",03/22/2020
Lancaster,Nebraska,US,40.78416049,-96.68777155,2,0,0,0,"Lancaster, Nebraska, US",03/22/2020
Bullock,Alabama,US,32.10030533,-85.71265535,0,0,0,0,"Bullock, Alabama, US",03/22/2020
Blount,Alabama,US,33.98210918,-86.56790593,0,0,0,0,"Blount, Alabama, US",03/22/2020
Bibb,Alabama,US,32.99642064,-87.12511459999999,0,0,0,0,"Bibb, Alabama, US",03/22/2020
Barbour,Alabama,US,31.868263,-85.3871286,0,0,0,0,"Barbour, Alabama, US",03/22/2020
Autauga,Alabama,US,32.53952745,-86.64408227,0,0,0,0,"Autauga, Alabama, US",03/22/2020
Putnam,West Virginia,US,38.50782345,-81.9082131,1,0,0,0,"Putnam, West Virginia, US",03/22/2020
Jackson,West Virginia,US,38.84263974,-81.68148753,1,0,0,0,"Jackson, West Virginia, US",03/22/2020
Butler,Alabama,US,31.75300095,-86.68057478,0,0,0,0,"Butler, Alabama, US",03/22/2020
Marshall,West Virginia,US,39.86064362,-80.66591062,2,0,0,0,"Marshall, West Virginia, US",03/22/2020
Tucker,West Virginia,US,39.11240885,-79.57053576,2,0,0,0,"Tucker, West Virginia, US",03/22/2020
Mercer,West Virginia,US,37.40481169,-81.11023142,2,0,0,0,"Mercer, West Virginia, US",03/22/2020
Kanawha,West Virginia,US,38.33860077,-81.52857054,3,0,0,0,"Kanawha, West Virginia, US",03/22/2020
Jefferson,West Virginia,US,39.30776166,-77.86014147,3,0,0,0,"Jefferson, West Virginia, US",03/22/2020
Sterling,Alaska,US,,,1,0,0,0,"Sterling, Alaska, US",03/22/2020
Soldotna,Alaska,US,,,1,0,0,0,"Soldotna, Alaska, US",03/22/2020
Anchorage,Alaska,US,61.14998174,-149.14269860000002,5,0,0,0,"Anchorage, Alaska, US",03/22/2020
Ketchikan Gateway,Alaska,US,55.57445008,-130.975561,6,0,0,0,"Ketchikan Gateway, Alaska, US",03/22/2020
Fairbanks North Star,Alaska,US,64.80726247,-146.5692662,7,0,0,0,"Fairbanks North Star, Alaska, US",03/22/2020
Monongalia,West Virginia,US,39.63218457,-80.04766838,2,0,0,0,"Monongalia, West Virginia, US",03/22/2020
Cherokee,Alabama,US,34.17805983,-85.60638968,0,0,0,0,"Cherokee, Alabama, US",03/22/2020
Chilton,Alabama,US,32.85044126,-86.7173256,0,0,0,0,"Chilton, Alabama, US",03/22/2020
Choctaw,Alabama,US,32.02227341,-88.26564429999999,0,0,0,0,"Choctaw, Alabama, US",03/22/2020
Houston,Alabama,US,31.15197924,-85.29939599,0,0,0,0,"Houston, Alabama, US",03/22/2020
Henry,Alabama,US,31.51148016,-85.24267944,0,0,0,0,"Henry, Alabama, US",03/22/2020
Hale,Alabama,US,32.76039258,-87.63284988,0,0,0,0,"Hale, Alabama, US",03/22/2020
Greene,Alabama,US,32.85504247,-87.95684022,0,0,0,0,"Greene, Alabama, US",03/22/2020
Geneva,Alabama,US,31.09389027,-85.83572839,0,0,0,0,"Geneva, Alabama, US",03/22/2020
Franklin,Alabama,US,34.44235334,-87.84289505,0,0,0,0,"Franklin, Alabama, US",03/22/2020
Fayette,Alabama,US,33.72076938,-87.73886638,0,0,0,0,"Fayette, Alabama, US",03/22/2020
Etowah,Alabama,US,34.04567266,-86.04051873,0,0,0,0,"Etowah, Alabama, US",03/22/2020
Escambia,Alabama,US,31.1256789,-87.15918694,0,0,0,0,"Escambia, Alabama, US",03/22/2020
DeKalb,Alabama,US,34.45946862,-85.80782906,0,0,0,0,"DeKalb, Alabama, US",03/22/2020
Dallas,Alabama,US,32.32688101,-87.10866709999999,0,0,0,0,"Dallas, Alabama, US",03/22/2020
Dale,Alabama,US,31.43037123,-85.61095742,0,0,0,0,"Dale, Alabama, US",03/22/2020
Crenshaw,Alabama,US,31.72941803,-86.31593104,0,0,0,0,"Crenshaw, Alabama, US",03/22/2020
Covington,Alabama,US,31.247785399999998,-86.45050893,0,0,0,0,"Covington, Alabama, US",03/22/2020
Coosa,Alabama,US,32.93690146,-86.24847739,0,0,0,0,"Coosa, Alabama, US",03/22/2020
Conecuh,Alabama,US,31.43401703,-86.99320044,0,0,0,0,"Conecuh, Alabama, US",03/22/2020
Colbert,Alabama,US,34.69847452,-87.80168544,0,0,0,0,"Colbert, Alabama, US",03/22/2020
Coffee,Alabama,US,31.39932826,-85.98901039,0,0,0,0,"Coffee, Alabama, US",03/22/2020
Cleburne,Alabama,US,33.67679204,-85.52005899,0,0,0,0,"Cleburne, Alabama, US",03/22/2020
Clay,Alabama,US,33.26984193,-85.85836077,0,0,0,0,"Clay, Alabama, US",03/22/2020
Clarke,Alabama,US,31.68099859,-87.83548597,0,0,0,0,"Clarke, Alabama, US",03/22/2020
Brown,South Dakota,US,45.58994323,-98.35165355,1,0,0,0,"Brown, South Dakota, US",03/22/2020
McCook,South Dakota,US,43.6742571,-97.36863144,1,0,0,0,"McCook, South Dakota, US",03/22/2020
Bon Homme,South Dakota,US,42.98914167,-97.88592746,1,0,0,0,"Bon Homme, South Dakota, US",03/22/2020
Davison,South Dakota,US,43.67490933,-98.14458906,1,0,0,0,"Davison, South Dakota, US",03/22/2020
Flathead,Montana,US,48.29575866,-114.05205690000001,2,0,0,0,"Flathead, Montana, US",03/22/2020
Silver Bow,Montana,US,45.90018933,-112.6620092,2,0,0,0,"Silver Bow, Montana, US",03/22/2020
Cascade,Montana,US,47.30797024,-111.3467922,3,0,0,0,"Cascade, Montana, US",03/22/2020
Lewis and Clark,Montana,US,47.12610041,-112.39469799999999,3,0,0,0,"Lewis and Clark, Montana, US",03/22/2020
Missoula,Montana,US,47.03728583,-113.92135079999998,3,0,0,0,"Missoula, Montana, US",03/22/2020
Yellowstone,Montana,US,45.93955949,-108.26914860000001,6,0,0,0,"Yellowstone, Montana, US",03/22/2020
Gallatin,Montana,US,45.54486106,-111.1692571,10,0,0,0,"Gallatin, Montana, US",03/22/2020
Canyon,Idaho,US,43.61970148,-116.70954990000001,1,0,0,0,"Canyon, Idaho, US",03/22/2020
Twin Falls,Idaho,US,42.35440512,-114.6685381,1,0,0,0,"Twin Falls, Idaho, US",03/22/2020
Madison,Idaho,US,43.78141028,-111.65384740000002,1,0,0,0,"Madison, Idaho, US",03/22/2020
Bingham,Idaho,US,43.21672879999999,-112.3978437,2,0,0,0,"Bingham, Idaho, US",03/22/2020
Teton,Idaho,US,43.75303583,-111.2056773,2,0,0,0,"Teton, Idaho, US",03/22/2020
Kootenai,Idaho,US,47.67282258,-116.7020872,3,0,0,0,"Kootenai, Idaho, US",03/22/2020
